,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
90,600519.XSHG,600519,贵州茅台,XSHG,2018-05-21,739.32,739.32,744.0,747.3,732.48,734.82,2905958,2150582003,14026,0.0023,0.9514423013,923079267396,923079267396,-0.0061,31.33,27.1273,9.2347,1,740.06
91,600519.XSHG,600519,贵州茅台,XSHG,2018-05-22,734.82,734.82,735.22,739.84,730.02,739.57,1699896,1250693946,9195,0.0014,0.9514423013,929046206946,929046206946,0.0065,31.5325,27.3027,9.2944,1,735.747
92,600519.XSHG,600519,贵州茅台,XSHG,2018-05-23,739.57,739.57,740.0,740.0,723.58,723.78,2826871,2061375201,15507,0.0023,0.9514423013,909210843684,909210843684,-0.0214,30.8593,26.7198,9.0959,1,729.207
93,600519.XSHG,600519,贵州茅台,XSHG,2018-05-24,723.78,723.78,720.0,728.66,713.0,715.4,3041634,2191695815,14612,0.0024,0.9514423013,898683906120,898683906120,-0.0116,30.502,26.4104,8.9906,1,720.565
94,600519.XSHG,600519,贵州茅台,XSHG,2018-05-25,715.4,715.4,712.0,727.0,712.0,716.86,2651146,1908701139,13502,0.0021,0.9514423013,900517954908,900517954908,0.002,30.5642,26.4643,9.009,1,719.953
95,600519.XSHG,600519,贵州茅台,XSHG,2018-05-28,716.86,716.86,718.0,740.66,715.12,740.4,4280523,3129960293,22205,0.0034,0.9514423013,930088851120,930088851120,0.0328,31.5679,27.3333,9.3048,1,731.21
96,600519.XSHG,600519,贵州茅台,XSHG,2018-05-29,740.4,740.4,738.8,750.0,731.28,731.43,4082027,3029700817,19535,0.0032,0.9514423013,918820756854,918820756854,-0.0121,31.1854,27.0022,9.1921,1,742.205
97,600519.XSHG,600519,贵州茅台,XSHG,2018-05-30,731.43,731.43,727.22,737.3,720.05,725.87,3714710,2706486799,19487,0.003,0.9514423013,911836297086,911836297086,-0.0076,30.9484,26.7969,9.1222,1,728.586
98,600519.XSHG,600519,贵州茅台,XSHG,2018-05-31,725.87,725.87,730.25,751.62,730.24,751.13,7185287,5356222572,30672,0.0057,0.9514423013,943567853514,943567853514,0.0348,32.0254,27.7295,9.4396,1,745.443
99,600519.XSHG,600519,贵州茅台,XSHG,2018-06-01,751.13,751.13,751.13,754.98,738.76,745.11,3617763,2694415012,17928,0.0029,0.9514423013,936005542758,936005542758,-0.008,31.7687,27.5072,9.364,1,744.774
100,600519.XSHG,600519,贵州茅台,XSHG,2018-06-04,745.11,745.11,752.35,782.9,745.88,781.97,7380597,5697540359,28637,0.0059,0.9514423013,982308993666,982308993666,0.0495,33.3403,28.868,9.8272,1,771.962
101,600519.XSHG,600519,贵州茅台,XSHG,2018-06-05,781.97,781.97,786.5,794.7,777.23,788.05,5262967,4136578583,23631,0.0042,0.9514423013,989946676290,989946676290,0.0078,33.5995,29.0924,9.9036,1,785.978
102,600519.XSHG,600519,贵州茅台,XSHG,2018-06-06,788.05,788.05,788.0,800.95,782.3,785.75,4896948,3870616725,22533,0.0039,0.9514423013,987057421350,987057421350,-0.0029,33.5014,29.0075,9.8747,1,790.414
103,600519.XSHG,600519,贵州茅台,XSHG,2018-06-07,785.75,785.75,789.98,795.55,778.9,780.97,3916778,3078137471,18451,0.0031,0.9514423013,981052795866,981052795866,-0.0061,33.2976,28.8311,9.8147,1,785.885
104,600519.XSHG,600519,贵州茅台,XSHG,2018-06-08,780.97,780.97,780.0,785.9,770.0,777.95,3495846,2712363711,19035,0.0028,0.9514423013,977259078510,977259078510,-0.0039,33.1689,28.7196,9.7767,1,775.882
105,600519.XSHG,600519,贵州茅台,XSHG,2018-06-11,777.95,777.95,776.05,786.0,768.33,775.73,3654755,2837404005,18372,0.0029,0.9514423013,974470319394,974470319394,-0.0029,33.0742,28.6376,9.7488,1,776.36
106,600519.XSHG,600519,贵州茅台,XSHG,2018-06-12,775.73,775.73,778.0,803.5,776.5,799.19,5528708,4385043270,26594,0.0044,0.9514423013,1003940719782,1003940719782,0.0302,34.0745,29.5037,10.0436,1,793.141
107,600519.XSHG,600519,贵州茅台,XSHG,2018-06-13,799.19,799.19,800.0,802.62,788.88,790.33,3524437,2803441679,17410,0.0028,0.9514423013,992810807274,992810807274,-0.0111,33.6967,29.1766,9.9323,1,795.43
108,600519.XSHG,600519,贵州茅台,XSHG,2018-06-14,790.33,790.33,790.0,793.8,775.18,786.13,3615961,2830514231,18209,0.0029,0.9514423013,987534776514,987534776514,-0.0053,33.5176,29.0216,9.8795,1,782.783
109,600519.XSHG,600519,贵州茅台,XSHG,2018-06-15,775.13,786.13,773.2,778.58,769.1,773.33,3170773,2455441877,16248,0.0025,0.9649431109,971455444674,971455444674,-0.0023,32.9719,28.549,9.7186,1,774.399
110,600519.XSHG,600519,贵州茅台,XSHG,2018-06-19,773.33,773.33,769.0,769.0,737.0,738.0,6019587,4535664030,25479,0.0048,0.9649431109,927073976400,927073976400,-0.0457,31.4655,27.2447,9.2746,1,753.484
111,600519.XSHG,600519,贵州茅台,XSHG,2018-06-20,738.0,738.0,741.0,765.0,741.0,763.59,4583802,3454583693,22222,0.0036,0.9649431109,959220078102,959220078102,0.0347,32.5566,28.1894,9.5962,1,753.65
112,600519.XSHG,600519,贵州茅台,XSHG,2018-06-21,763.59,763.59,765.22,778.89,758.77,759.32,3918255,3013867644,19264,0.0031,0.9649431109,953856113496,953856113496,-0.0056,32.3745,28.0318,9.5426,1,769.186
113,600519.XSHG,600519,贵州茅台,XSHG,2018-06-22,759.32,759.32,754.0,767.0,750.0,766.53,2885481,2190055865,14107,0.0023,0.9649431109,962913299634,962913299634,0.0095,32.682,28.298,9.6332,1,758.992
114,600519.XSHG,600519,贵州茅台,XSHG,2018-06-25,766.53,766.53,766.0,778.97,764.9,765.56,3293416,2543272262,18398,0.0026,0.9649431109,961694787768,961694787768,-0.0013,32.6406,28.2622,9.621,1,772.229
